Iteration, Discriminator Loss, Generator Loss, Accuracy
2440, 1.384997, 0.762707, 0.500000
2450, 1.374271, 0.701158, 0.500000
2460, 1.383880, 0.688783, 0.500000
2470, 1.385426, 0.603864, 0.521484
2480, 1.376090, 0.755923, 0.500000
2490, 1.382204, 0.666653, 0.500000
2500, 1.355678, 0.678018, 0.531250
2510, 1.381266, 0.689839, 0.500000
2520, 1.377552, 0.704716, 0.500000
2530, 1.373955, 0.816347, 0.500000
2540, 1.378041, 0.679345, 0.500000
2550, 1.391315, 0.710515, 0.500000
2560, 1.374423, 0.605641, 0.496094
2570, 1.374133, 0.827352, 0.500000
2580, 1.382878, 0.598165, 0.500000
2590, 1.363968, 0.640216, 0.498047
2600, 1.365097, 0.691115, 0.527344
2610, 1.389525, 0.721311, 0.500000
2620, 1.364476, 0.626192, 0.500000
2630, 1.387542, 0.694971, 0.500000
2640, 1.381343, 0.683484, 0.500000
2650, 1.357976, 0.570169, 0.511719
2660, 1.373978, 0.661615, 0.500000
2670, 1.379160, 0.665585, 0.500000
2680, 1.366600, 0.616014, 0.500000
2690, 1.381493, 0.710253, 0.500000
2700, 1.343753, 0.746714, 0.533203
2710, 1.382152, 0.678673, 0.500000
2720, 1.380577, 0.731493, 0.500000
2730, 1.376660, 0.679827, 0.500000
2740, 1.380029, 0.712513, 0.500000
2750, 1.380957, 0.687264, 0.500000
2760, 1.383095, 0.666426, 0.500000
2770, 1.381953, 0.693138, 0.500000
2780, 1.384586, 0.661326, 0.500000
2790, 1.388479, 0.673766, 0.500000
2800, 1.364004, 0.743527, 0.500000
2810, 1.374235, 0.680174, 0.529297
2820, 1.371060, 0.662699, 0.421875
2830, 1.383530, 0.735777, 0.500000
2840, 1.381097, 0.667389, 0.500000
2850, 1.358392, 0.742377, 0.500000
2860, 1.382817, 0.657290, 0.500000
2870, 1.376142, 0.670477, 0.498047
2880, 1.368261, 0.699052, 0.500000
2890, 1.383458, 0.717031, 0.500000
2900, 1.385341, 0.688777, 0.500000
2910, 1.382798, 0.681189, 0.500000
2920, 1.378647, 0.702115, 0.500000
2930, 1.380811, 0.671087, 0.500000
2940, 1.377493, 0.691269, 0.500000
2950, 1.377889, 0.746924, 0.500000
2960, 1.364752, 0.749318, 0.500000
2970, 1.381823, 0.731070, 0.500000
2980, 1.376855, 0.670394, 0.500000
2990, 1.381271, 0.679323, 0.500000
3000, 1.372036, 0.671722, 0.496094
3010, 1.377492, 0.640127, 0.500000
3020, 1.376719, 0.681046, 0.498047
3030, 1.382758, 0.778741, 0.500000
3040, 1.383768, 0.669324, 0.500000
3050, 1.375902, 0.673935, 0.500000
3060, 1.360024, 0.606145, 0.478516
3070, 1.370650, 0.681836, 0.476562
3080, 1.368984, 0.664337, 0.476562
3090, 1.318057, 0.584662, 0.515625
3100, 1.334471, 0.584157, 0.488281
3110, 1.387138, 0.645832, 0.500000
3120, 1.379827, 0.620425, 0.480469
3130, 1.380984, 0.705023, 0.500000
3140, 1.383272, 0.731559, 0.500000
3150, 1.379108, 0.702055, 0.500000
3160, 1.384385, 0.683231, 0.500000
3170, 1.373915, 0.636206, 0.500000
3180, 1.378007, 0.593343, 0.498047
3190, 1.377182, 0.688877, 0.500000
3200, 1.382489, 0.684774, 0.500000
3210, 1.372804, 0.658755, 0.500000
3220, 1.379985, 0.742342, 0.500000
3230, 1.367932, 0.639834, 0.500000
3240, 1.373938, 0.752175, 0.500000
3250, 1.378448, 0.702885, 0.500000
3260, 1.383377, 0.694835, 0.500000
3270, 1.377337, 0.702308, 0.500000
3280, 1.376013, 0.665754, 0.500000
3290, 1.381447, 0.687108, 0.500000
3300, 1.375073, 0.690929, 0.500000
3310, 1.383972, 0.669341, 0.500000
3320, 1.383530, 0.684171, 0.500000
3330, 1.392132, 0.684118, 0.500000
3340, 1.384371, 0.733289, 0.500000
3350, 1.381108, 0.657990, 0.490234
3360, 1.385417, 0.734175, 0.500000
3370, 1.362794, 0.725528, 0.500000
3380, 1.381679, 0.717065, 0.500000
3390, 1.387728, 0.690142, 0.500000
3400, 1.386232, 0.697272, 0.500000
3410, 1.384397, 0.727288, 0.500000
3420, 1.379774, 0.662027, 0.500000
3430, 1.380783, 0.704719, 0.500000
3440, 1.387042, 0.643231, 0.496094
3450, 1.378317, 0.641745, 0.500000
3460, 1.377344, 0.718666, 0.496094
3470, 1.381707, 0.718591, 0.500000
3480, 1.374269, 0.805925, 0.500000
3490, 1.377166, 0.579198, 0.361328
3500, 1.375728, 0.644019, 0.498047
3510, 1.361753, 0.732365, 0.500000
3520, 1.379034, 0.662619, 0.505859
3530, 1.381342, 0.693951, 0.500000
3540, 1.372106, 0.696801, 0.500000
3550, 1.382467, 0.632424, 0.494141
3560, 1.381760, 0.686741, 0.500000
3570, 1.364997, 0.563880, 0.464844
3580, 1.380828, 0.601025, 0.496094
3590, 1.381914, 0.688104, 0.500000
3600, 1.383722, 0.693630, 0.500000
3610, 1.368203, 0.665063, 0.500000
3620, 1.374768, 0.677256, 0.500000
3630, 1.377310, 0.703046, 0.500000
3640, 1.385283, 0.689471, 0.500000
3650, 1.355692, 0.806672, 0.484375
3660, 1.388825, 0.698801, 0.500000
3670, 1.336674, 0.765722, 0.505859
3680, 1.382861, 0.525737, 0.460938
3690, 1.384724, 0.665142, 0.500000
3700, 1.387375, 0.702305, 0.500000
3710, 1.362836, 0.652147, 0.490234
3720, 1.357463, 0.655730, 0.500000
3730, 1.383355, 0.652256, 0.429688
3740, 1.387447, 0.687941, 0.500000
3750, 1.386207, 0.683498, 0.500000
3760, 1.374406, 0.666037, 0.492188
3770, 1.380195, 0.667065, 0.500000
3780, 1.372747, 0.612744, 0.494141
3790, 1.383127, 0.670651, 0.500000
3800, 1.384995, 0.694266, 0.500000
3810, 1.381902, 0.714742, 0.500000
3820, 1.380626, 0.710621, 0.500000
3830, 1.379174, 0.721162, 0.500000
3840, 1.351365, 0.688632, 0.500000
3850, 1.385121, 0.698650, 0.498047
3860, 1.368138, 0.700768, 0.427734
3870, 1.373787, 0.637585, 0.513672
3880, 1.381344, 0.709821, 0.500000
3890, 1.383442, 0.712218, 0.500000
3900, 1.376402, 0.671452, 0.500000
3910, 1.384627, 0.728582, 0.500000
3920, 1.370963, 0.693202, 0.500000
3930, 1.381870, 0.700460, 0.500000
3940, 1.385640, 0.692782, 0.500000
3950, 1.378276, 0.713656, 0.500000
3960, 1.383380, 0.657954, 0.500000
3970, 1.347229, 0.706995, 0.498047
3980, 1.372537, 0.566570, 0.494141
3990, 1.374305, 0.659587, 0.500000
4000, 1.379760, 0.675145, 0.500000
4010, 1.378805, 0.707989, 0.500000
4020, 1.379293, 0.711914, 0.496094
4030, 1.356171, 0.723869, 0.498047
4040, 1.344382, 0.538591, 0.523438
4050, 1.355204, 0.726955, 0.500000
4060, 1.360025, 0.669801, 0.500000
4070, 1.381278, 0.625390, 0.500000
4080, 1.389508, 0.652699, 0.494141
4090, 1.359059, 0.698117, 0.500000
4100, 1.363654, 0.674125, 0.482422
4110, 1.386038, 0.656787, 0.500000
4120, 1.346285, 0.630492, 0.474609
4130, 1.383515, 0.680313, 0.500000
4140, 1.357791, 0.631060, 0.523438
4150, 1.368035, 0.627785, 0.498047
4160, 1.366401, 0.641523, 0.501953
4170, 1.340165, 0.640172, 0.535156
4180, 1.372879, 0.647042, 0.523438
4190, 1.368906, 0.685128, 0.521484
4200, 1.353880, 0.637479, 0.486328
4210, 1.343884, 0.767246, 0.496094
4220, 1.321680, 0.733945, 0.505859
4230, 1.347638, 0.644036, 0.482422
4240, 1.379419, 0.716936, 0.500000
4250, 1.372560, 0.691820, 0.500000
4260, 1.347241, 0.731441, 0.505859
4270, 1.361981, 0.596089, 0.441406
4280, 1.321770, 0.659922, 0.472656
4290, 1.359190, 0.653259, 0.500000
4300, 1.382879, 0.754010, 0.500000
